county,population
Carroll,26731
Geneva,26726
Juneau,26695
Boone,26669
Caddo,26626
Lewis,26618
Wasco,26603
Grayson,26586
Lawrence,26574
Carter,26515
Edgefield,26508
Hart,26484
Clay,26431
Decatur,26411
Marlboro,26285
Taylor,26205
Montezuma,26204
Union,26192
Payette,26190
Harlan,26185
Charlevoix,26143
Wyoming,26075
Butts,26074
Grady,26056
Lamoille,26036
Franklin,25994
Dickinson,25940
McNairy,25933
Johnson,25932
Montgomery,25874
Brown,25826
Simpson,25817
Pottawatomie,25808
Macon,25793
Garvin,25779
Cheboygan,25778
Staunton,25765
Plymouth,25699
Benton,25698
Crook,25651
Russell,25635
Churchill,25614
Goochland,25613
Fannin,25605
Union,25598
Gladwin,25543
Hardee,25508
Lyon,25498
Hardeman,25477
Salem,25477
Luna,25420
Todd,25402
Otsego,25352
Iosco,25333
Sunflower,25328
Barton,25275
Milam,25268
Washington,25259
Manistee,25247
Grant,25238
Hickman,25229
Cherokee,25224
Adair,25224
Mason,25214
Cassia,25165
Posey,25163
Bremer,25118
Miller,25081
Cleburne,25048
Prentiss,24999
Routt,24990
Chattooga,24975
Jefferson,24973
Morehouse,24967
Texas,24956
Lauderdale,24933
George,24870
Uvalde,24810
Jerome,24788
Fayette,24783
Teller,24774
Barbour,24757
Waushara,24752
Jackson,24730
White,24709
Audrain,24688
Somerset,24685
Yates,24637
Blaine,24579
Rowan,24525
Randolph,24524
Fairfax,24478
Scott,24468
Aransas,24449
Nicholas,24446
Burke,24427
Randolph,24425
Lincoln,24415
Abbeville,24352
Marion,24303
Tattnall,24215
New Kent,24139
Shelby,24108
Anderson,24098
Dawson,24020
Hood River,23958
Itawamba,23942
Grainger,23929
Bell,23878
Antrim,23876
Franklin,23840
Iowa,23832
Upshur,23758
Page,23750
Pacific,23750
Ohio,23704
Roscommon,23639
Winston,23637
Seminole,23550
McDonald,23492
Washington,23483
Curry,23463
Meeker,23422
Juniata,23419
Vilas,23410
Fayette,23390
Saline,23387
Yankton,23379
Teton,23358
Hampshire,23340
Starke,23300
Menominee,23295
Saline,23177
Ray,23149
Osceola,23122
Klickitat,23082
Plaquemines,23070
Mingo,22979
Emanuel,22961
Hopewell,22944
Franklin,22929
Crawford,22890
Mercer,22824
Overton,22807
Clarke,22802
Saunders,22761
Poinsett,22740
St. Francis,22740
Caswell,22689
Panola,22624
Leelanau,22607
Rockbridge,22578
Waynesboro,22574
Allen,22552
Washington,22539
Columbia,22527
Putnam,22524
Johnson,22464
Asotin,22424
Sumner,22386
Ouachita,22317
Randolph,22310
Lampasas,22267
Beckham,22202
Henry,22194
Limestone,22185
Bibb,22152
Grant,22123
Sabine,22085
Meigs,22072
Nobles,22067
Brooke,22053
Mahaska,22045
Houston,22042
Lee,22042
Llano,22011
Scott,21969
Prince Edward,21932
Minidoka,21922
Jo Daviess,21918
Gaines,21904
Anson,21903
Colusa,21895
Sevier,21854
Martin,21773
Hubbard,21700
Wyandot,21699
McDuffie,21687
Gage,21646
Madison,21640
Seward,21640
Tippah,21621
Bandera,21589
Stutsman,21525
Wabasha,21519
Scott,21504
Hockley,21455
Mitchell,21441
Owen,21434
Morgan,21430
Taylor,21422
Fayette,21380
Clark,21378
Fillmore,21346
Grenada,21342
Jersey,21336
Dakota,21331
Boone,21312
Leake,21288
Clinton,21259
Logan,21240
Moore,21234
Morgan,21193
Newton,21151
Letcher,21146
Gray,21131
Logan,21067
Allen,21029
Washington,20989
Jackson,20971
Dodge,20962
Nodaway,20959
Wyoming,20948
Adams,20928
Union,20914
Texas,20880
Conway,20872
Shelby,20867
Ogemaw,20853
Greene,20850
Perry,20810
Coahoma,20808
Jones,20799
Sullivan,20766
Meriwether,20757
Dukes,20751
Fairfield,20741
Colorado,20736
Breckinridge,20722
Assumption,20720
Adams,20690
Buena Vista,20684
Carroll,20677
Lincoln,20656
Buchanan,20645
Kewaunee,20621
Morgan,20614
Uinta,20605
Montague,20599
Worth,20575
Barnwell,20565
DeKalb,20551
Hertford,20492
Lavaca,20479
Carbon,20446
Carroll,20443
Pointe Coupee,20438
Greene,20421
Hutchinson,20413
Fulton,20411
Jay,20281
Woodward,20260
Henry,20228
Lincoln,20227
Willacy,20218
Smith,20196
Yell,20195
Bourbon,20174
Lincoln,20170
Lincoln,20158
Union,20141
Clay,20105
Tyler,20084
Pierce,19996
Crisp,19995
Winneshiek,19972
Taylor,19972
Jones,19968
Labette,19949
Davison,19936
Duchesne,19932
Calhoun,19921
Dodge,19909
Richland,19908
Washington,19893
Benton,19887
Chaffee,19876
Spencer,19875
Spencer,19871
Martin,19864
Buchanan,19857
Gem,19854
DeWitt,19853
Freestone,19813
St. James,19797
Simpson,19786
Hempstead,19778
Gonzales,19764
Orange,19746
Elbert,19725
Vernon,19713
Wayne,19699
Polk,19689
Douglas,19686
Marion,19680
Holmes,19626
Plumas,19607
Adair,19595
Wayne,19592
Franklin,19590
Greene,19586
Monroe,19580
Pike,19540
Langlade,19473
Hart,19470
Jackson,19429
Fayette,19393
East Feliciana,19378
Los Alamos,19374
Polk,19348
Beadle,19279
Kent,19265
McIntosh,19237
Cherokee,19236
Perry,19218
Green Lake,19165
Lamar,19098
Humphreys,19074
Marengo,19027
Adair,19016
Roosevelt,19002
Harrison,18971
Saluda,18958
Waseca,18958
Macon,18951
Fentress,18948
Perry,18947
Pickens,18843
Butler,18807
Inyo,18803
Paulding,18800
Houston,18768
Banks,18757
Warren,18751
Tishomingo,18738
Randolph,18733
Ashley,18722
Wright,18722
Westmoreland,18683
Yancey,18676
Crawford,18588
Poweshiek,18582
Hampton,18555
Ste. Genevieve,18551
Bosque,18546
Andrews,18518
Stone,18515
Gilchrist,18494
Bethel,18487
Deaf Smith,18487
Clay,18462
Otero,18460
Cedar,18427
Appling,18426
Dickinson,18423
McDowell,18413
Jefferson,18391
Burleson,18327
Concordia,18325
San Juan,18266
Berrien,18257
Sawyer,18243
King William,18232
Covington,18226
Colonial Heights,18210
Benzie,18177
Brantley,18171
Russell,18117
Kalkaska,18116
Madison,18113
Grant,18111
Andrew,18086
Montour,18079
Johnson,18073
Frio,18019
Southampton,17988
Young,17963
Eastland,17846
Dickinson,17844
Unicoi,17779
Lee,17758
Schuyler,17749
Park,17739
Hughes,17732
Polk,17702
Attala,17685
Haywood,17672
Avery,17643
Seward,17636
Pike,17623
Winston,17609
Patrick,17606
Sharp,17597
Delaware,17549
Long,17512
Park,17484
Bertie,17482
Chester,17452
Henry,17450
Hancock,17434
Cook,17363
Garrard,17346
Dallas,17344
Morgan,17327
Humboldt,17299
Richland,17229
Franklin,17220
Northampton,17212
Gunnison,17158
Drew,17143
Ben Hill,17138
Piscataquis,17125
Idaho,17120
Pitkin,17119
Rabun,17107
Marion,17076
Clayton,17069
Falls,17063
Mariposa,17060
Madison,17032
Bristol,17024
Mason,16995
Chickasaw,16994
Tama,16982
Robertson,16973
Union,16972
Dixie,16952
Manassas Park,16923
Union,16916
Buckingham,16914
McCreary,16905
Cooper,16835
Lewis,16808
Baker,16796
Lafayette,16788
Jackson,16775
Arkansas,16773
Madison,16760
Washburn,16749
Burnett,16741
Rush,16734
Hardin,16729
Piatt,16702
Cross,16681
Edgar,16637
Scurry,16633
Bond,16627
Giles,16610
La Paz,16605
Warren,16576
Richland,16550
Iowa,16547
Fountain,16546
Taylor,16543
Alamosa,16515
Radford,16505
Holmes,16491
Clay,16446
Appomattox,16424
Bayfield,16410
Sequatchie,16409
Parke,16346
Lee,16330
Socorro,16308
Crawford,16289
Brooks,16285
Potter,16276
Lawrence,16265
Kanabec,16261
Hill,16260
Wayne,16251
Jasper,16211
Atchison,16211
Dade,16196
Fayette,16173
Lawrence,16171
Rockcastle,16144
Bates,16121
Otoe,16075
Leon,16067
Crawford,16064
Ashland,16050
New Madrid,16041
Wayne,15994
Casey,15951
Benton,15948
Van Buren,15936
Aitkin,15930
Phillips,15910
Trinity,15886
Brunswick,15868
Sevier,15797
Grand,15794
Osage,15780
Henry,15774
Gooding,15740
Neosho,15715
Marquette,15706
Pawnee,15689
Jefferson,15676
Richland,15675
Marshall,15628
Carroll,15621
Mercer,15619
Nottoway,15597
Williamsburg,15564
Floyd,15560
Union,15551
Brown,15543
Floyd,15502
Jefferson,15468
De Witt,15461
Barbour,15454
Vermillion,15452
Clarke,15424
Redwood,15383
West Feliciana,15381
Jasper,15345
Tipton,15329
Clark,15328
Grayson,15323
Moniteau,15303
Roseau,15301
Torrance,15290
Kingfisher,15288
Washington,15270
Cleburne,15254
Pemiscot,15232
Oglethorpe,15221
Fleming,15221
Page,15168
Macon,15163
Missaukee,15156
Lawrence,15137
Clay,15133
Jackson,15081
Clarke,15060
Arenac,15054
Larue,15028
Pecos,14983
Mitchell,14973
Alleghany,14962
Jackson,14939
Sibley,14933
Bledsoe,14905
Hamilton,14893
Jeff Davis,14838
Karnes,14819
LaSalle,14804
Nelson,14777
Gasconade,14774
Gulf,14772
Hale,14749
Franklin,14715
Jefferson,14713
Pendleton,14683
Cannon,14661
Harrison,14645
Saline,14642
Pike,14625
Kossuth,14610
Falls Church,14593
Renville,14587
Nolan,14565
Mills,14563
Carbon,14549
Fulton,14545
Dent,14506
Moultrie,14469
San Juan,14466
Cedar,14440
Harrison,14408
Clay,14399
Las Animas,14392
Bourbon,14384
Gogebic,14348
Livingston,14330
Butler,14301
Choctaw,14299
Nantucket,14299
McKenzie,14280
Atoka,14255
Noble,14252
Hardy,14236
Wetzel,14233
York,14231
Craig,14215
Trigg,14211
Smith,14193
Clay,14188
Calhoun,14150
Rusk,14146
Wadena,14135
O'Brien,14103
Estill,14079
Price,14077
Swain,14065
Screven,14057
Knott,14046
Allamakee,14038
Claiborne,14019
Callahan,14017
Massac,13958
Morgan,13938
Crockett,13937
Madison,13931
Roane,13921
Dickenson,13920
Faribault,13909
Pennington,13877
Ketchikan Gateway,13870
Izard,13866
Walthall,13864
Newton,13859
Stewart,13859
Zapata,13855
Trinity,13850
Chowan,13814
Pend Oreille,13811
Lamar,13809
Murray,13807
Comanche,13786
Converse,13759
Morgan,13758
Archuleta,13730
Glacier,13713
White,13708
Fremont,13701
Washington,13682
Grundy,13665
Greene,13595
Calhoun,13593
Oglala Lakota,13587
Martinsville,13584
Shoshone,13580
Madison,13574
Winn,13506
Hamilton,13445
Breathitt,13438
Hughes,13411
Ford,13396
Union,13379
Osage,13379
Johnson,13350
Amelia,13342
Buffalo,13341
Monroe,13308
Jackson,13277
Crawford,13271
Moffat,13258
Reeves,13219
Millard,13179
Clay,13173
Mono,13169
Bamberg,13164
Perquimans,13146
Crenshaw,13144
Presque Isle,13142
Cass,13115
Meigs,13076
Powell,13057
Calhoun,13029
Lewis,13028
Jackson,13003
Lincoln,12966
Big Horn,12963
Sanders,12936
Lamb,12919
Mason,12878
Kodiak Island,12878
Webster,12873
Cass,12826
Wright,12817
Bath,12812
Lewis,12784
Bienville,12769
Towns,12739
Wilbarger,12712
Charlton,12711
Howard,12701
Boundary,12695
Vinton,12686
Madison,12665
Camp,12652
Caldwell,12631
Amite,12611
Goshen,12587
Morgan,12585
Poquoson,12556
Choctaw,12525
Rains,12505
Jefferson,12501
Allen,12491
Stone,12474
Pulaski,12441
Yalobusha,12439
Franklin,12418
Bleckley,12414
Monroe,12401
Lake,12393
Chippewa,12388
Butler,12373
Tallahatchie,12363
Grundy,12352
Braxton,12345
Colfax,12336
Todd,12330
Glades,12324
Pamlico,12315
Dawson,12311
Owyhee,12284
Skamania,12276
Juab,12273
Morrow,12249
Edmonson,12243
Appanoose,12242
Fulton,12239
Newton,12193
Pike,12187
Crawford,12183
Telfair,12174
Menard,12169
Valley,12136
Northampton,12115
Teton,12101
Washington,12091
Lyon,12087
Northumberland,12085
Mississippi,12079
Rolette,12065
Union,12038
Sumter,12020
Morris,12014
Blanco,12008
Blackford,12007
Lunenburg,11990
Little River,11959
Macon,11953
Koochiching,11950
Custer,11938
Prowers,11931
Lawrence,11883
Jackson,11882
Chickasaw,11868
Linn,11850
Douglas,11850
Greene,11837
Summers,11833
Trousdale,11805
Marion,11795
Shelby,11757
Big Horn,11737
Marshall,11715
Terry,11699
Barton,11685
Haskell,11667
Iron,11650
Red River,11621
Heard,11616
Cherokee,11587
Fergus,11581
Ramsey,11563
Sierra,11511
Decatur,11499
Magoffin,11495
Charlotte,11475
Perry,11459
Cottonwood,11458
Live Oak,11444
Montgomery,11422
Conecuh,11411
Rio Grande,11394
Clay,11391
Pope,11363
Richland,11329
Monroe,11318
Greensville,11304
Okfuskee,11304
Green,11278
Lincoln,11271
Owen,11270
Ward,11255
Wabash,11199
McIntosh,11187
Jefferson Davis,11183
Martin,11181
DeKalb,11176
Watonwan,11169
Bacon,11129
Alleghany,11075
Lake,11052
Desha,11041
Dooly,11026
Grant,10972
Candler,10972
Wayne,10942
Lake,10911
Noble,10909
Washington,10905
North Slope,10891
Carroll,10878
Carbon,10877
Lancaster,10876
Washington,10866
Mackinac,10865
Washita,10857
St. Helena,10849
Barnes,10794
Sussex,10793
Pushmataha,10787
Middlesex,10774
Ripley,10755
Box Butte,10754
Camden,10743
Evans,10740
Hancock,10718
Louisa,10710
Early,10683
Roosevelt,10665
Winnebago,10648
Guthrie,10646
Red Willow,10611
Essex,10604
Bollinger,10591
Mitchell,10548
Custer,10544
Colfax,10541
Butte,10538
Franklin,10522
Crawford,10494
Walsh,10488
Gates,10437
Clay,10402
Ralls,10394
Cumberland,10378
Metcalfe,10372
Bradley,10354
Wilcox,10347
Johnston,10334
Coosa,10323
Alcona,10310
Leslie,10261
Montgomery,10254
Roberts,10219
Nemaha,10213
Love,10196
Pike,10182
Bullock,10157
Howard,10141
Noxubee,10136
Lanier,10094
Holt,10093
Perry,10073
Lowndes,10008
Marshall,10001
Sabine,9998
Chicot,9997
Franklin,9977
Emery,9968
Keokuk,9964
Jackson,9964
Lewis,9945
Webster,9942
Nome,9925
Yuma,9921
Switzerland,9914
Benewah,9913
Pulaski,9893
Runnels,9880
Calhoun,9858
Martin,9854
Ochiltree,9852
Scott,9839
Carroll,9828
Duval,9824
Grundy,9822
McLean,9807
Swift,9787
Wayne,9786
Sac,9759
Madison,9757
Parmer,9752
Cumberland,9745
Linn,9723
Montgomery,9708
McCormick,9701
Grand,9697
Clarke,9690
Stevens,9686
Marion,9631
Rock,9628
West Carroll,9622
Beaverhead,9590
Tunica,9586
Humboldt,9573
Mountrail,9567
Caldwell,9563
Wilkes,9553
Zavala,9532
Deer Lodge,9512
Somervell,9510
Yellow Medicine,9509
Latimer,9495
Iron,9482
Cheyenne,9478
Brewster,9464
Howard,9459
Greenlee,9452
St. Clair,9451
Hamilton,9438
Brown,9415
Nowata,9392
Rice,9389
Irwin,9385
Montmorency,9372
Clear Creek,9358
Pipestone,9352
Emmet,9316
Todd,9293
Charles Mix,9281
Stephens,9278
Forest,9261
Jones,9245
Clinton,9240
Jasper,9233
Johnson,9192
Chattahoochee,9181
Davis,9127
McLean,9127
Pratt,9120
Seminole,9117
Stillwater,9052
Richmond,9047
Hancock,9032
Mitchell,8989
Phelps,8983
Cuming,8976
Madison,8975
Cloud,8973
Crittenden,8972
Marshall,8961
Livingston,8941
Terrell,8941
Clearwater,8921
Turner,8915
Claiborne,8908
Palo Alto,8902
Caldwell,8890
Dawson,8874
White Pine,8856
Kemper,8855
Lyon,8831
Alger,8813
Sublette,8806
Wilkinson,8795
Wilcox,8784
Ozark,8773
Turner,8772
Gallatin,8749
Catahoula,8738
Archer,8734
Greene,8722
Benton,8708
Oregon,8704
Custer,8686
Lucas,8685
Montgomery,8675
Jenkins,8674
Monroe,8672
Modoc,8646
Hancock,8630
Jack,8623
Monona,8619
Woods,8619
Quay,8616
Platte,8606
Blaine,8603
Johnson,8602
Clearwater,8579
Montgomery,8571
Perry,8561
Wilson,8559
Trimble,8531
Mathews,8517
Lee,8511
Dimmit,8507
Hickory,8501
Warren,8469
Carroll,8459
Kiowa,8458
Daviess,8449
Maries,8435
Bracken,8427
Butler,8413
Sitka,8393
Wilkinson,8376
Ritchie,8372
Knox,8362
Cedar,8344
Mercer,8341
Oscoda,8338
Hamilton,8320
Coffey,8304
Houston,8293
Kusilvak,8277
Atkinson,8261
Lake,8254
Webster,8253
Baraga,8249
Keith,8239
Rosebud,8236
Perry,8231
Nevada,8228
Franklin,8212
Dawes,8212
Harrison,8198
Tyler,8181
Choctaw,8172
Lemhi,8166
Prairie,8162
Murray,8119
Schoolcraft,8093
Clay,8071
Boise,8045
Graham,8041
Lafayette,8035
San Miguel,8026
Power,8018
Kane,7996
Traill,7980
Hamilton,7972
Clay,7946
Thomas,7913
San Augustine,7889
Twiggs,7869
Searcy,7861
Pocahontas,7855
Anderson,7819
Richardson,7797
Taylor,7786
Lincoln,7773
Doddridge,7767
Coleman,7765
Allendale,7738
Washakie,7708
Merrick,7696
Ballard,7678
Decatur,7669
Major,7656
Nicholas,7655
Franklin,7655
Liberty,7650
Dade,7627
Clay,7621
Northwest Arctic,7611
Benton,7592
Yoakum,7589
Greene,7589
Pleasants,7572
Humphreys,7570
McCulloch,7565
Monroe,7546
Grant,7544
Valley,7540
Winkler,7540
Conejos,7536
Wallowa,7532
Red River,7529
Harney,7515
Doniphan,7492
Cleveland,7491
Marion,7474
Adair,7471
Wheeler,7434
Lexington,7420
Lake,7411
Rappahannock,7409
Chariton,7406
Grand Isle,7393
Hutchinson,7393
Worth,7380
Gilmer,7376
Lee,7375
Pepin,7372
Crook,7339
Elliott,7336
Castro,7328
Ferry,7326
Pierce,7312
Broadwater,7310
Grant,7284
Kingman,7284
Grant,7238
Van Buren,7236
East Carroll,7195
Dallam,7180
Fall River,7179
Newton,7175
Beaver,7172
Jefferson,7155
Shannon,7137
Jefferson,7127
Caribou,7118
Goliad,7096
Bailey,7044
Pocahontas,7040
Nemaha,7035
Powell,7029
Union,7028
Bon Homme,7024
Kit Carson,7015
Blaine,6997
Brooks,6987
Swisher,6981
Tillman,6967
Chugach,6964
Wabaunsee,6961
Huerfano,6946
La Salle,6946
Ida,6944
Southeast Fairbanks,6936
Weston,6835
Schuyler,6826
Hancock,6790
Pembina,6787
Forest,6785
Childress,6772
Burt,6730
Clinch,6722
Russell,6717
Tucker,6698
Galax,6698
Kearney,6697
Lac qui Parle,6694
Refugio,6693
Lake,6691
Charles City,6686
Monroe,6681
Clark,6680
King and Queen,6676
Thurston,6666
Buena Vista,6612
Moore,6611
Fremont,6570
Bear Lake,6552
Surry,6552
Wayne,6518
Rio Blanco,6518
Saguache,6511
Pershing,6505
Howard,6492
Wolfe,6484
Fulton,6440
Wilkin,6413
Norman,6411
Bottineau,6390
Treutlen,6387
Moody,6371
Ellsworth,6366
Dallas,6351
Luce,6325
Brown,6320
Antelope,6302
Van Buren,6293
Teton,6291
Hamlin,6288
Henderson,6284
Spink,6283
Randolph,6270
Gentry,6224
Pawnee,6220
Lafayette,6211
Bland,6211
Menifee,6203
Iron,6164
Calhoun,6158
Woodruff,6157
Edwards,6118
Osceola,6114
Pendleton,6111
Grant,6108
Clay,6084
Reynolds,6058
Presidio,6043
Pondera,6012
Shelby,6011
Ohio,5993
Essex,5972
Greenwood,5956
Cumberland,5948
Sherman,5919
Quitman,5908
Sullivan,5903
Taylor,5901
Chouteau,5888
Gilpin,5877
Miller,5873
Ontonagon,5870
Benson,5861
Sullivan,5849
Stanton,5835
Carson,5802
San Saba,5802
Ottawa,5782
Mitchell,5767
Talbot,5753
Lander,5745
Crowley,5734
McCook,5732
Prince of Wales-Hyder,5730
Gray,5696
Alfalfa,5685
Covington,5671
Lynn,5667
Ransom,5662
Cook,5633
Emporia,5633
Audubon,5622
Tripp,5607
Putnam,5600
Lincoln,5594
Dixon,5561
Lincoln,5561
Fillmore,5551
Calhoun,5528
Bent,5524
Washington,5519
Greer,5498
Cotton,5475
Cherry,5468
Day,5460
Harper,5446
Garza,5435
Norton,5392
Haskell,5390
Morris,5388
Jefferson,5377
Mahnomen,5371
Boone,5366
Delta,5345
Stark,5324
Hartley,5307
Walworth,5298
Floyd,5294
Lincoln,5276
Coal,5275
Yukon-Koyukuk,5271
Carter,5269
McHenry,5264
Johnson,5263
Brule,5261
Dewey,5230
Martin,5230
Cameron,5222
Atchison,5216
Stevens,5212
Kingsbury,5210
Polk,5209
Hansford,5182
Aleutians West,5178
Warren,5175
Garfield,5170
Big Stone,5152
Wirt,5131
Hamilton,5102
Pulaski,5074
Custer,5073
Crosby,5072
Scott,5071
Musselshell,5068
Pickett,5062
Sheridan,5058
Alexander,5042
Beaver,5041
Toole,5028
Ouray,5024
Stewart,4978
Dickey,4959
Thayer,4938
Wheeler,4902
Craig,4881
Phillips,4874
Rooks,4869
Gallatin,4857
Scott,4847
Washington,4839
Jim Hogg,4797
Mineral,4796
Dillingham,4780
Carlisle,4763
Calhoun,4717
Scotland,4698
Oneida,4681
Putnam,4675
Ringgold,4664
Republic,4662
Hyde,4625
Crane,4623
Hot Springs,4618
Florence,4617
Furnas,4605
Adams,4599
Wahkiakum,4573
Mineral,4557
Morrill,4544
Schley,4539
Mills,4499
Phillips,4491
Cameron,4475
Hickman,4470
Lincoln,4452
Dewey,4433
Custer,4411
Calhoun,4406
Guadalupe,4379
Kimble,4355
Marshall,4355
Deuel,4318
Menominee,4256
Holt,4254
Phillips,4224
Mora,4176
Kittson,4163
Barber,4153
Storey,4139
Grant,4137
Bath,4123
LaMoure,4107
Hidalgo,4097
Valley,4094
Nuckolls,4089
Schuyler,4044
Dunn,4043
Union,4039
Edmunds,4033
Owsley,4021
Stafford,4004
Columbia,3996
Gregory,3993
Tensas,3992
Pierce,3961
Mason,3951
Meade,3949
Wells,3942
Red Lake,3922
Kearny,3910
Clark,3876
Corson,3859
Sharkey,3848
Sargent,3822
Lake of the Woods,3800
Sioux,3789
Knox,3760
Pope,3757
Lyman,3717
Ellis,3717
Sweet Grass,3713
Echols,3705
Haskell,3695
Catron,3685
Sheridan,3677
Cavalier,3663
Fisher,3661
Lewis,3649
Adams,3641
Chase,3639
Hardin,3623
Norton,3620
Smith,3579
Costilla,3571
Hardeman,3529
Mercer,3501
Osborne,3473
Hanson,3473
Baylor,3464
Baca,3460
Aleutians East,3423
Granite,3419
Petersburg,3394
Webster,3385
Roger Mills,3378
Tyrrell,3376
Foster,3372
Chautauqua,3370
Bennett,3354
Kimball,3348
Nance,3342
Hudspeth,3331
Knox,3322
Coke,3315
Hemphill,3311
Sutton,3306
Concho,3301
Traverse,3279
Donley,3276
Emmons,3269
Reagan,3259
Harper,3231
Upton,3227
Shackelford,3169
Kinney,3140
Woodson,3118
Perkins,3058
Hand,3045
Nelson,3015
Stanley,3012
Harlan,3006
Sherman,2974
Lipscomb,2964
Rush,2957
Bowman,2935
Lincoln,2924
Glascock,2913
Jewell,2909
Crockett,2881
Franklin,2868
Clay,2853
Perkins,2835
Baker,2830
Hall,2827
Jackson,2826
Douglas,2823
Real,2821
Edwards,2817
Fallon,2817
Gove,2796
Trego,2778
Decatur,2746
Brown,2739
Collingsworth,2733
Sierra,2731
Logan,2720
Ness,2659
Butte,2654
Morton,2647
Cheyenne,2628
Copper River,2626
Hitchcock,2601
Rich,2588
Chase,2579
Aurora,2573
Frontier,2562
Wayne,2557
Pawnee,2539
Rawlins,2533
Cochran,2520
McIntosh,2512
Hamilton,2485
Elk,2464
Hettinger,2453
Harmon,2452
Sheridan,2442
Sherman,2434
Potter,2430
Schleicher,2426
Kiowa,2422
Niobrara,2415
Ziebach,2410
Graham,2406
Dolores,2385
Kidder,2374
Sanborn,2370
Webster,2348
Sedgwick,2346
Griggs,2340
Garfield,2326
Eddy,2319
Hoonah-Angoon,2313
Miner,2299
McPherson,2278
Renville,2277
Grant,2276
Highland,2265
Cimarron,2247
Robertson,2239
Greeley,2211
Culberson,2181
Adams,2179
Divide,2174
Burke,2163
Faulk,2137
Wichita,2115
Towner,2113
Keweenaw,2106
Wrangell,2106
Oldham,2097
Quitman,2092
Haines,2077
Judith Basin,2053
Wheatland,2049
Mellette,2043
Denali,2029
Stanton,2018
Gilliam,2002
Clark,1987
Meagher,1979
Liberty,1968
Menard,1964
Worth,1956
Gosper,1929
Sherman,1908
Armstrong,1883
Deuel,1865
Logan,1848
Jerauld,1845
Oliver,1821
McCone,1818
Dundy,1811
Garfield,1797
Powder River,1762
Buffalo,1757
Jeff Davis,1740
Taliaferro,1740
Cheyenne,1732
Steele,1731
Haakon,1708
Piute,1705
Boyd,1704
Alpine,1695
Comanche,1685
Golden Valley,1679
Hodgeman,1676
Eureka,1660
Dickens,1641
Garden,1620
Throckmorton,1589
De Baca,1580
Daniels,1524
Lane,1497
Sully,1481
Campbell,1481
Wallace,1459
Wheeler,1434
Irion,1432
Jackson,1422
Edwards,1392
Sterling,1389
Carter,1361
Kiowa,1356
Rock,1335
Sheridan,1327
Skagway,1308
Hyde,1305
Cottle,1302
Greeley,1296
Motley,1267
Prairie,1251
Stonewall,1244
Briscoe,1223
Sioux,1197
Camas,1155
Wibaux,1148
Issaquena,1095
Harding,1092
Foard,1079
Glasscock,1070
Jones,1030
Lake and Peninsula,1007
Esmeralda,962
Billings,948
Hinsdale,939
Keya Paha,939
Garfield,938
Bristol Bay,878
Hayes,854
Terrell,851
Golden Valley,840
Logan,812
Mineral,799
Slope,795
Wheeler,785
Roberts,785
Clark,776
Treasure,761
Harding,748
Daggett,747
Kent,727
Borden,723
Grant,695
San Juan,690
Banner,657
Thomas,626
McMullen,623
Hooker,613
Loup,564
Arthur,540
Yakutat,506
McPherson,463
Petroleum,401
Blaine,385
King,189
Loving,54
Kenedy,52
Kalawao,43
Morovis,28179
Patillas,16096
Loíza,28776
Maunabo,10210
Carolina,154815
Fajardo,31492
Isabela,42859
San Sebastián,38760
Yabucoa,32882
Hormigueros,15654
San Lorenzo,36942
Yauco,33434
Aibonito,24039
Florida,11937
Aguas Buenas,25460
Guaynabo,87978
Cidra,36181
Vieques,0
Moca,0
Barceloneta,23192
Vega Baja,52947
Trujillo Alto,74375
Lajas,24857
Humacao,49103
Naranjito,27900
Ponce,137491
Caguas,118891
San Germán,30707
Cataño,24700
Guayanilla,17400
Tolland,15000
Manatí,39949
Juana Díaz,46291
Corozal,33463
Peñuelas,19927
Añasco,24800
Sabana Grande,22000
Las Marías,8820
Hartford,0
Aguada,38236
Cabo Rojo,45100
New Haven,135000
Valdez-Cordova,9500
Toa Alta,65534
Villalba,23225
Santa Isabel,20836
Vega Alta,38931
Naguabo,24743
Aguadilla,52064
Barranquitas,30049
Orocovis,22000
Cayey,43035
Salinas,27600
Canóvanas,41935
Ceiba,11800
Coamo,38248
Dorado,38492
Maricao,5400
Quebradillas,23517
Rincón,15213
Las Piedras,35749
Culebra,0
Arroyo,17000
Lares,28100
Guayama,36097
Litchfield,18600
Arecibo,86638
Utuado,26600
Camuy,34446
New London,27000
Mayagüez,68989
Hatillo,39023
Luquillo,19000
Guánica,17000
Comerío,18576
Bayamón,169269
Juncos,39025
Jayuya,13492
Gurabo,0
Toa Baja,74572
Ciales,15229
Adjuntas,17252
